"Burial.Ground.Name","Latitude","Longitude","Condition.of.monument","Condition.of.inscription","Monument.type","Letter.styles","Date.of.monument"
"Moodie family plot in Claudette Caine park",45.270846,-75.700946,"sound and in situ (even if leaning)","mainly legible",4310,150,1873
"Sacred Heart Cemetery",44.482784,-77.67672,"sound and in situ (even if leaning)","mint",100,200,NA
"Woods Anglican Cemetery",45.349937,-75.631698,"sound and in situ (even if leaning)","mint",5300,100,1993
"Saint Isidore Roman Catholic Cemetery",45.367905,-75.949656,"sound and in situ (even if leaning)","mint",5300,100,NA
"Saint Isidore Roman Catholic Cemetery",45.367939,-75.949704,"sound and in situ (even if leaning)","mint",4500,100,NA
"Saint Isidore Roman Catholic Cemetery",45.367924,-75.949695,"sound and in situ (even if leaning)","all legible",6087,100,NA
"St James Cemetery",45.422256,-75.735873,"sound and in situ (even if leaning)","all legible",4500,100,1923
"St James Cemetery",45.422256,-75.735873,"sound and in situ (even if leaning)","mint",8200,100,1961
"St James Cemetery",45.422256,-75.735873,"sound and in situ (even if leaning)","all legible",8100,100,1911
"St James Cemetery",45.422869,-75.735292,"sound and in situ (even if leaning)","mainly legible",8100,100,1898
"St James Cemetery",45.422619,-75.73615,"sound and in situ (even if leaning)","mint",8100,300,1937
"Central Cemetery Vienna Austria",48.152044,16.439924,"sound and in situ (even if leaning)","all legible",9440,600,1888
"Woods Anglican Cemetery",45.353026,-75.635324,"sound and in situ (even if leaning)","mint",5300,NA,1971
"Woods Anglican Cemetary",45.35137,-75.631018,"falling apart, incomplete but recognisable","mainly legible",5000,NA,1933
"Woods Anglican Cemetery",45.349953,-75.631473,"sound and in situ (even if leaning)","mint",5300,100,2010
"Woods Anglican Cemetery",45.349937,-75.631627,"falling apart, incomplete but recognisable","traces",9444,NA,1921
"Saint Isidore Roman Catholic Cemetery",45.36789,-75.949713,"sound and in situ (even if leaning)","mint",5300,100,NA
"Auld Kirk Cemetery",45.210053,-76.221155,"sound and in situ (even if leaning)","all legible",4500,100,1972
"Auld Kirk Cemetery",45.210053,-76.221155,"overgrown","mainly legible",8200,950,1896
"Auld Kirk Cemetery",45.228006,-76.193726,"sound and in situ (even if leaning)","all legible",4600,950,1930
"Auld Kirk Cemetery",45.210694,-76.220028,"sound and in situ (even if leaning)","all legible",4600,100,1953
"Auld Kirk Cemetery",45.209901,-76.221209,"sound and in situ (even if leaning)","mint",4500,100,1952
"Woods Anglican Cemetery",45.350343,-75.631596,"sound and in situ (even if leaning)","mint",5300,100,2011
"St. Mary's Anglican Cemetery",45.415373,-75.423426,"sound, but displaced","traces",1000,200,NA
"St. Mary's Anglican Cemetery",45.415445,-75.423509,"sound and in situ (even if leaning)","mint",5300,100,2018
"St. Mary's Anglican Cemetery",45.415449,-75.423517,"sound and in situ (even if leaning)","mint",5300,100,1991
"St. Mary's Anglican Cemetery",45.41546,-75.423405,"sound and in situ (even if leaning)","mint",5000,100,2016
"St. Mary's Anglican Cemetery",45.415422,-75.423337,"sound and in situ (even if leaning)","illegible/destroyed/face down",9000,NA,NA
"St. Mary's Anglican Cemetery",45.415475,-75.423223,"sound, but displaced","mainly legible",4000,300,1974
